Modulos com termos enriquecidos	Termos GO utilizados para enriquecimento neste modulo
33	GO:0009723,GO:0070887,GO:0048580,GO:0006950,GO:0048518,GO:1901575,GO:0009057,GO:0009056,GO:0036211,GO:0071702,GO:0006508,GO:0044085,GO:0006629,GO:0006357,GO:0099402,GO:0042221,GO:0006457,GO:0051603,GO:0019748,GO:0032502,GO:0016053,GO:0008610,GO:0006325,GO:0016051,GO:0030163,GO:0009605,GO:0043933,GO:0065003,GO:0006595,GO:1901565,GO:0009310,GO:0009308,GO:0006812,GO:0065008,GO:0044282,GO:0044262,GO:0007049,GO:0044248,GO:0042886,GO:0042939,GO:0009812,GO:0060249,GO:0032259,GO:0032774,GO:0006996,GO:0065009,GO:0034660,GO:1901700,GO:0006081,GO:0002831,GO:1900150,GO:0001676,GO:0006396,GO:0071554,GO:0042440,GO:0030029,GO:0090407,GO:0048856,GO:0007017,GO:0006753,GO:0008202,GO:0051235,GO:0051651,GO:0006720,GO:0009161,GO:0009156,GO:0032196,GO:0051261,GO:0042908,GO:0022900,GO:1901607,GO:0006564,GO:0034220,GO:0015074,GO:0018193,GO:0009628,GO:0033388,GO:0001763,GO:0006468,GO:0098542,GO:0032392,GO:0019216,GO:0071897,GO:0072593,GO:0015980,GO:0009060,GO:0051247,GO:0002237,GO:0006278,GO:0019761,GO:0006644,GO:0044255,GO:0033036,GO:0055088,GO:0042592,GO:0006790,GO:1901605,GO:0090305,GO:0007166,GO:0008037,GO:0009892,GO:0009642,GO:0061640,GO:0048519,GO:0016192,GO:0006470,GO:0007275,GO:0051174,GO:0001101,GO:0042780,GO:0051301,GO:0006260,GO:0055086,GO:0006952,GO:0032879,GO:0006413,GO:0035556,GO:0000160,GO:0070647,GO:0048868,GO:0010154,GO:0000910,GO:0008652,GO:0048869,GO:0016050,GO:0006862,GO:0009162,GO:0006310,GO:0044264,GO:0015931,GO:0000278,GO:0015979,GO:0048827,GO:0000304,GO:0006313,GO:0009451,GO:0005996,GO:0016570,GO:0009069,GO:0009657,GO:0006768,GO:0009894,GO:1903320,GO:0051641,GO:0031365,GO:0075260,GO:0048511,GO:0048449,GO:0007034,GO:0019674,GO:0006734,GO:0048285,GO:0000447,GO:0006414,GO:0010228,GO:0045934,GO:0009741,GO:0006450,GO:0010928,GO:0032787,GO:0010218,GO:0090501,GO:0030001,GO:0010337,GO:0071705,GO:1990542,GO:0051276,GO:1900060,GO:0036228,GO:0007005,GO:0019693,GO:0052325,GO:0048583,GO:0043648,GO:0008213,GO:0006766,GO:0009749,GO:0034284,GO:0006643,GO:0006839
34	GO:0009056,GO:0006950,GO:0009607,GO:0015698,GO:0071702,GO:0090305,GO:1901575,GO:0006629,GO:0006812,GO:0006260,GO:0006396,GO:0006278,GO:0071897,GO:0022607,GO:0009553,GO:0050918,GO:0044706,GO:0090407,GO:0051093,GO:2000112,GO:0036211,GO:0048519,GO:0090501,GO:0048466,GO:0009078,GO:0015074,GO:0044085,GO:0033036,GO:0007017,GO:0055086,GO:0008037,GO:0006401,GO:0006402,GO:0044262,GO:0035556,GO:0046160,GO:0033013,GO:0071705,GO:0032774,GO:0019748,GO:0006428,GO:0034660,GO:0032259,GO:0032196,GO:1901605,GO:0006508,GO:0071396,GO:0006952,GO:0016053,GO:0006996,GO:0006766,GO:0006468,GO:0009888,GO:0048507,GO:0006457,GO:0048285,GO:0070588,GO:0048518,GO:0005996,GO:0034220,GO:0000917,GO:0070647,GO:0010363,GO:0048829,GO:0030029,GO:2000636,GO:0042221,GO:0022900,GO:0015980,GO:1901607,GO:0009911,GO:0006790,GO:0032504,GO:0032502,GO:0015979,GO:0042026,GO:0009605,GO:0007049,GO:0030422,GO:0016192,GO:0044264,GO:0010075,GO:0007275,GO:0050793,GO:0006553,GO:0009820,GO:0006310,GO:0043248,GO:0042908,GO:0055070,GO:0044419,GO:0009451,GO:0048584,GO:0061024,GO:0000160,GO:0007205,GO:0071554,GO:0065009,GO:0022613,GO:0051452,GO:1901615,GO:0006081,GO:1990542,GO:0042180,GO:0009942,GO:0009411,GO:0051246,GO:0032876,GO:0051052,GO:0006734,GO:0044255,GO:0032103,GO:0009072,GO:0070585,GO:0006839,GO:0006753,GO:1901293,GO:0009123,GO:0006325,GO:0043933,GO:0006970,GO:0051259,GO:0006638,GO:0006414,GO:0009308,GO:0010332,GO:1901606,GO:0009791,GO:0051174,GO:0010207,GO:0009628,GO:0010033,GO:0032881,GO:0046185,GO:0044275,GO:0006690,GO:0070918,GO:0070192,GO:0022402,GO:0070592,GO:0006487,GO:0006413,GO:0000272,GO:0044248,GO:2000242,GO:0006357,GO:0007166,GO:0065008,GO:0098754,GO:0009314,GO:0006304,GO:0043648,GO:0070085,GO:0070887,GO:0120126
35	GO:0006950,GO:0006325,GO:0036211,GO:0006996,GO:0007166,GO:0005996,GO:0043038,GO:0019748,GO:0006468,GO:0044085,GO:0035556,GO:0032502,GO:0044262,GO:1901575,GO:0009056,GO:0044248,GO:0016053,GO:0051641,GO:0006396,GO:0015074,GO:0032774,GO:0035600,GO:0032259,GO:0022900,GO:0009628,GO:0009411,GO:0065009,GO:0009063,GO:0009451,GO:0034470,GO:0048229,GO:0009553,GO:0016050,GO:0042221,GO:0006508,GO:0006278,GO:0071897,GO:0071702,GO:0071705,GO:0006575,GO:0051307,GO:0009791,GO:0007275,GO:0055086,GO:0043207,GO:0006457,GO:1990542,GO:0034220,GO:0044282,GO:0009850,GO:0009694,GO:0006820,GO:0048519,GO:0090305,GO:0015980,GO:0034660,GO:0022402,GO:0006260,GO:0006629,GO:0042180,GO:0006766,GO:0042447,GO:0009605,GO:0015979,GO:0000003,GO:0040008,GO:0006357,GO:0051054,GO:0071554,GO:0051301,GO:0010498,GO:0044255,GO:0006812,GO:0032103,GO:0016192,GO:0006310,GO:0010496,GO:0033036,GO:0032196,GO:0090407,GO:0050793,GO:2000762,GO:0007178,GO:1904951,GO:0044275,GO:0009308,GO:0051246,GO:0010731,GO:0006413,GO:0048518,GO:0042908,GO:0006887,GO:0065008,GO:0016311,GO:0007049,GO:0009719,GO:0008037,GO:0006633,GO:0031407,GO:0090567,GO:0070592,GO:0042273,GO:0032787,GO:0033013,GO:1901700,GO:0009092,GO:0006284,GO:0006144,GO:0009314,GO:0042550,GO:0000959,GO:0048583,GO:0120178,GO:0007005,GO:1901137,GO:0007017,GO:0009555,GO:0009117,GO:1901293,GO:0018126,GO:0009607,GO:0015846,GO:0070647,GO:0010033,GO:0010256,GO:0001701
36	GO:0048583,GO:0032103,GO:0015074,GO:0032502,GO:0048519,GO:0035556,GO:0006310,GO:0033554,GO:0002943,GO:0009698,GO:0009605,GO:0009056,GO:0000291,GO:0006950,GO:0044419,GO:0009607,GO:0032774,GO:0006396,GO:0016053,GO:0006996,GO:0044262,GO:0007010,GO:0036211,GO:0006629,GO:0016125,GO:0006706,GO:0044248,GO:0070297,GO:0044085,GO:0034470,GO:0065009,GO:0034220,GO:0007017,GO:0071702,GO:0006508,GO:0034968,GO:0031400,GO:0042592,GO:0008037,GO:0006278,GO:0071897,GO:0016570,GO:0042908,GO:0072348,GO:0090305,GO:0006325,GO:0007049,GO:0051641,GO:0016192,GO:0032259,GO:0006081,GO:0042886,GO:0090407,GO:0006457,GO:0006260,GO:0006575,GO:0006468,GO:0009134,GO:1901575,GO:0006766,GO:0006812,GO:0009409,GO:0010959,GO:0010597,GO:0055086,GO:0031146,GO:0006720,GO:0016116,GO:0033013,GO:0043414,GO:0009451,GO:0006849,GO:0005996,GO:0071705,GO:0006413,GO:0071554,GO:0065008,GO:0051603,GO:0043632,GO:0042044,GO:0006642,GO:0034660,GO:1900864,GO:0006357,GO:0048518,GO:0090501,GO:2000112,GO:0009890,GO:0009624,GO:0003006,GO:0051649,GO:0009073,GO:0006753,GO:0007166,GO:0000154,GO:0007215,GO:0000959,GO:0048523,GO:0042221,GO:0022613,GO:0016052,GO:0033036,GO:0051276,GO:0016311,GO:0010498,GO:0022900,GO:1901293,GO:0010441,GO:0009892,GO:0010270,GO:0033354,GO:0009559,GO:0009561,GO:0050793,GO:0043207,GO:1901606,GO:0043007,GO:0006721,GO:0010876,GO:0010431,GO:0015980,GO:0009555,GO:0009081,GO:0015979,GO:0019748,GO:0009100,GO:0044784,GO:0009914,GO:0032787,GO:0030029,GO:0009208,GO:0072330
37	GO:0048519,GO:0051726,GO:0007049,GO:0036211,GO:0032502,GO:0034660,GO:0065009,GO:0006629,GO:0006950,GO:0071702,GO:0009056,GO:0009605,GO:0007162,GO:0010224,GO:0016053,GO:0006310,GO:0042221,GO:0009607,GO:0006508,GO:0006468,GO:0044262,GO:0006996,GO:0034220,GO:0009719,GO:0032259,GO:0032774,GO:0071897,GO:0042908,GO:0044085,GO:0043572,GO:0009620,GO:0031047,GO:0048518,GO:0016051,GO:0045489,GO:0010393,GO:0032446,GO:0043632,GO:0007017,GO:0051641,GO:0035967,GO:0030001,GO:0009308,GO:0006396,GO:0042743,GO:0090305,GO:0016554,GO:0009615,GO:0018212,GO:0033036,GO:0006357,GO:0050793,GO:0005996,GO:1901700,GO:0010381,GO:0019693,GO:0055086,GO:0030029,GO:0098656,GO:0051276,GO:0048523,GO:0022414,GO:0015074,GO:0008202,GO:0015979,GO:0006812,GO:0006413,GO:0032787,GO:0009451,GO:0006790,GO:0009082,GO:0018193,GO:0065008,GO:1900426,GO:0019748,GO:0009657,GO:0048856,GO:0007275,GO:0007166,GO:0072524,GO:0006739,GO:0048583,GO:0044248,GO:0006195,GO:0090501,GO:0006099,GO:0006108,GO:0006325,GO:0032196,GO:0016973,GO:0090407,GO:1901575,GO:0022402,GO:0019725,GO:0070192,GO:0051321,GO:0006281,GO:0035337,GO:0044265,GO:0044839,GO:0006081,GO:0009628,GO:0043933,GO:0009658,GO:0007205,GO:0035556,GO:0051026,GO:0016192,GO:0052646,GO:0001887,GO:0009555,GO:1901605,GO:0022900,GO:1901615,GO:0046486,GO:0032886,GO:0050832,GO:0008610,GO:0006886,GO:0007034,GO:0006457,GO:0033013,GO:0044255,GO:0070647
38	GO:0036211,GO:0042221,GO:0009888,GO:0055080,GO:0120178,GO:0009647,GO:0016131,GO:0016128,GO:0033554,GO:0006950,GO:0006974,GO:0090305,GO:0048519,GO:0031060,GO:0044085,GO:0022607,GO:0006396,GO:0042440,GO:0009607,GO:0032196,GO:0009056,GO:0019748,GO:0044248,GO:0010256,GO:0009605,GO:0016053,GO:0006325,GO:0006468,GO:0022900,GO:0006996,GO:0071702,GO:0048229,GO:0032774,GO:0009937,GO:0009938,GO:0006629,GO:0006357,GO:0009308,GO:0048856,GO:0007166,GO:0006952,GO:0070887,GO:0009311,GO:0007010,GO:0090407,GO:0007049,GO:0071897,GO:0055086,GO:0006310,GO:0071554,GO:0048731,GO:0016071,GO:0098662,GO:0035556,GO:0065008,GO:0051641,GO:0015074,GO:0034660,GO:1900457,GO:0009894,GO:0034220,GO:0007017,GO:0042273,GO:0046856,GO:0044282,GO:1901615,GO:0065009,GO:0044255,GO:0030029,GO:0048518,GO:0032259,GO:0006631,GO:0044262,GO:0032502,GO:0045229,GO:0010228,GO:0050793,GO:0006508,GO:0016192,GO:0044419,GO:0015979,GO:0099402,GO:0016101,GO:0006400,GO:0044270,GO:0009628,GO:0033013,GO:0006351,GO:0006399,GO:0005996,GO:0048583,GO:0006812,GO:0071705,GO:0006457,GO:0031647,GO:0000373,GO:0052646,GO:0071824,GO:1901605,GO:0009451,GO:1901575,GO:0009791,GO:0070647,GO:0032392,GO:0006955,GO:0003006,GO:0019363,GO:0032879,GO:0015980,GO:0140053,GO:0018212,GO:1901293,GO:0006260,GO:0051246,GO:1990542,GO:0015748
39	GO:0006629,GO:0032502,GO:0006996,GO:0032774,GO:0006950,GO:0032259,GO:0009056,GO:0042221,GO:0006468,GO:0009605,GO:0065009,GO:0071702,GO:0008610,GO:0042428,GO:0043414,GO:0036211,GO:0008202,GO:0048519,GO:0006396,GO:0006508,GO:0070647,GO:0006325,GO:0090407,GO:0006812,GO:0044085,GO:0016053,GO:0006357,GO:0015979,GO:0090305,GO:0044262,GO:0010143,GO:0034470,GO:1901575,GO:0009057,GO:0006739,GO:0071897,GO:0044248,GO:0015074,GO:0044255,GO:0005996,GO:0034220,GO:0030488,GO:0033036,GO:0006457,GO:0042149,GO:0009409,GO:0044036,GO:1901137,GO:0019693,GO:0016102,GO:0006720,GO:0006278,GO:1990066,GO:0035556,GO:0033013,GO:0016051,GO:0016192,GO:1901361,GO:0034660,GO:0048511,GO:0006952,GO:0071705,GO:0006413,GO:0055086,GO:0006260,GO:0033993,GO:0018193,GO:0006631,GO:0006397,GO:0009451,GO:0006304,GO:0007017,GO:0009791,GO:0007275,GO:0070887,GO:0071554,GO:0022613,GO:0007049,GO:0009607,GO:0022900,GO:0048518
40	GO:0009605,GO:0071702,GO:0036211,GO:0040007,GO:0044419,GO:0071786,GO:0010256,GO:0006952,GO:0019748,GO:0007017,GO:0044085,GO:0071554,GO:0032196,GO:0009056,GO:0055086,GO:0035556,GO:0006950,GO:0006629,GO:0042908,GO:0042221,GO:0065008,GO:0016053,GO:0042398,GO:0043650,GO:0009627,GO:0006508,GO:0032259,GO:0006325,GO:0006468,GO:0044262,GO:0090305,GO:0048519,GO:0009657,GO:0006996,GO:0006396,GO:0051641,GO:0006753,GO:1901293,GO:0009123,GO:0090407,GO:0009225,GO:0071897,GO:0006357,GO:0045935,GO:0034660,GO:0006450,GO:0016071,GO:0065009,GO:0000959,GO:0032774,GO:0034220,GO:0006820,GO:1901605,GO:0048583,GO:0055088,GO:0009451,GO:0006310,GO:0009414,GO:0048518,GO:0015074,GO:0009773,GO:0006575,GO:0033554,GO:0071555,GO:0045229,GO:0044264,GO:0032502,GO:0051247,GO:0017004,GO:0005996,GO:0016052,GO:0003006,GO:0030029,GO:0033993,GO:0042886,GO:0009607,GO:0006260,GO:0044248,GO:0006413,GO:0072319,GO:0048468,GO:0033013,GO:0006970,GO:0009057,GO:0006812,GO:0044255,GO:0006790,GO:0015979,GO:0006278,GO:0007010,GO:0006457,GO:0051301,GO:0016192,GO:0098655,GO:0006418,GO:0033331,GO:0071461,GO:1901575,GO:0008037,GO:0033036,GO:0009628,GO:0010876,GO:0042180,GO:0051056,GO:0015980,GO:0015846,GO:0018345,GO:0002181,GO:0048731,GO:0043933,GO:0008643,GO:0071705,GO:0046394,GO:1901607,GO:1901565,GO:0009812,GO:1901701,GO:0009964,GO:0071806,GO:0022613,GO:0042273,GO:0000302,GO:0007166,GO:0006549,GO:0016311,GO:0034655,GO:0016042,GO:0070647,GO:0007275,GO:0070085,GO:2000280,GO:0050793,GO:0048367,GO:1900057,GO:0042440,GO:0009072,GO:2000762,GO:1901137,GO:0042445,GO:0010817,GO:0015698,GO:0051174,GO:0009620,GO:0044706,GO:0006839,GO:0000724,GO:0010035,GO:0031407,GO:0009636,GO:0007129,GO:0009790,GO:0007005,GO:0052547,GO:0006304,GO:0042254,GO:0010336,GO:0006281,GO:0090503,GO:0032501,GO:0009448,GO:0006743,GO:1900457,GO:0050776,GO:0015031,GO:0006730,GO:0016032,GO:0006592,GO:0008213,GO:0043085,GO:0022900,GO:0009308,GO:0044550,GO:0098754,GO:0022607,GO:0015805,GO:0005976,GO:0043455,GO:0018958,GO:0070291,GO:0007049,GO:0051246,GO:0002758,GO:0009617,GO:0006302,GO:0043648,GO:0080134,GO:1902653,GO:0034470,GO:0030592,GO:0009894,GO:0000028,GO:0036473,GO:0006644,GO:0009698,GO:0051649,GO:0000003,GO:0000278,GO:0070592,GO:0009310,GO:0071495,GO:0071489,GO:0009960,GO:1901698,GO:0006766,GO:0016051,GO:0070727,GO:0070918,GO:0051276,GO:0070716,GO:0043631,GO:0070887,GO:1905182,GO:0070542,GO:0048580,GO:0042148,GO:0009791,GO:0007019,GO:0032392,GO:0048584,GO:0051983,GO:0051129,GO:0010396,GO:0006353,GO:0060359,GO:1901699,GO:0009561,GO:0006414
