Genotipos	Grupos	Classe	Transcritos
1	660511	hard_core_transcriptome	1027515
1	220789	hard_core_transcriptome	312288
1	159898	hard_core_transcriptome	230866
1	179043	hard_core_transcriptome	231862
1	103943	hard_core_transcriptome	131739
1	136694	hard_core_transcriptome	174904
1	103225	hard_core_transcriptome	132966
1	203292	hard_core_transcriptome	284405
1	263648	hard_core_transcriptome	400002
1	257782	hard_core_transcriptome	374176
1	159849	hard_core_transcriptome	206709
1	138440	hard_core_transcriptome	177020
1	665888	hard_core_transcriptome	1054413
1	217389	hard_core_transcriptome	309615
1	85215	hard_core_transcriptome	109946
1	153196	hard_core_transcriptome	198180
1	103225	hard_core_transcriptome	132966
1	153196	hard_core_transcriptome	198180
1	179043	hard_core_transcriptome	231862
1	240890	hard_core_transcriptome	328394
2	28304	hard_core_transcriptome	113035
2	8550	hard_core_transcriptome	31336
2	15696	hard_core_transcriptome	60760
2	7267	hard_core_transcriptome	26020
2	11349	hard_core_transcriptome	33379
2	11285	hard_core_transcriptome	40949
2	6438	hard_core_transcriptome	22843
2	6206	hard_core_transcriptome	21186
2	25289	hard_core_transcriptome	104580
2	20695	hard_core_transcriptome	72125
2	12285	hard_core_transcriptome	46031
2	5578	hard_core_transcriptome	20143
2	16183	hard_core_transcriptome	54454
2	14544	hard_core_transcriptome	52975
2	13552	hard_core_transcriptome	44055
2	22039	hard_core_transcriptome	85056
2	9678	hard_core_transcriptome	36108
2	10490	hard_core_transcriptome	46159
2	10467	hard_core_transcriptome	37560
2	42369	hard_core_transcriptome	165078
3	2333	hard_core_transcriptome	18320
3	10351	hard_core_transcriptome	87070
3	1767	hard_core_transcriptome	12786
3	4215	hard_core_transcriptome	29015
3	1505	hard_core_transcriptome	11331
3	3623	hard_core_transcriptome	22699
3	1247	hard_core_transcriptome	9043
3	1932	hard_core_transcriptome	14064
3	2753	hard_core_transcriptome	21841
3	1855	hard_core_transcriptome	10828
3	3627	hard_core_transcriptome	22245
3	2781	hard_core_transcriptome	22247
3	5949	hard_core_transcriptome	46015
3	2649	hard_core_transcriptome	19755
3	2550	hard_core_transcriptome	17739
3	1961	hard_core_transcriptome	13682
3	7466	hard_core_transcriptome	57862
3	1583	hard_core_transcriptome	11367
3	3210	hard_core_transcriptome	25938
3	1392	hard_core_transcriptome	11528
4	1559	hard_core_transcriptome	18766
4	927	hard_core_transcriptome	10054
4	1100	hard_core_transcriptome	12460
4	596	hard_core_transcriptome	6264
4	1682	hard_core_transcriptome	19499
4	712	hard_core_transcriptome	7110
4	1176	hard_core_transcriptome	12975
4	1499	hard_core_transcriptome	18780
4	912	hard_core_transcriptome	9989
4	1094	hard_core_transcriptome	12962
4	3831	hard_core_transcriptome	46698
4	1258	hard_core_transcriptome	13839
4	556	hard_core_transcriptome	6203
4	1065	hard_core_transcriptome	10841
4	1005	hard_core_transcriptome	11338
4	1463	hard_core_transcriptome	17088
4	2095	hard_core_transcriptome	24242
4	1733	hard_core_transcriptome	17217
4	1335	hard_core_transcriptome	14443
4	584	hard_core_transcriptome	5552
5	1105	hard_core_transcriptome	17465
5	596	hard_core_transcriptome	9025
5	793	hard_core_transcriptome	12037
5	2595	hard_core_transcriptome	40764
5	660	hard_core_transcriptome	9873
5	763	hard_core_transcriptome	12165
5	1062	hard_core_transcriptome	16713
5	381	hard_core_transcriptome	5216
5	890	hard_core_transcriptome	14775
5	1172	hard_core_transcriptome	17921
5	791	hard_core_transcriptome	13428
5	809	hard_core_transcriptome	12610
5	425	hard_core_transcriptome	6761
5	895	hard_core_transcriptome	12545
5	2411	hard_core_transcriptome	39304
5	3050	hard_core_transcriptome	49951
5	1096	hard_core_transcriptome	16417
5	4934	hard_core_transcriptome	83468
5	643	hard_core_transcriptome	10123
5	953	hard_core_transcriptome	14410
6	320	hard_core_transcriptome	5919
6	876	hard_core_transcriptome	18242
6	760	hard_core_transcriptome	15257
6	1042	hard_core_transcriptome	19298
6	752	hard_core_transcriptome	14956
6	447	hard_core_transcriptome	9215
6	620	hard_core_transcriptome	13619
6	753	hard_core_transcriptome	14875
6	657	hard_core_transcriptome	13505
6	449	hard_core_transcriptome	8970
6	811	hard_core_transcriptome	16193
6	334	hard_core_transcriptome	6093
6	579	hard_core_transcriptome	12010
6	629	hard_core_transcriptome	13111
6	532	hard_core_transcriptome	10870
6	1107	hard_core_transcriptome	23481
6	912	hard_core_transcriptome	18073
6	608	hard_core_transcriptome	11808
6	482	hard_core_transcriptome	9555
6	483	hard_core_transcriptome	9144
7	1256	hard_core_transcriptome	31519
7	206	hard_core_transcriptome	4476
7	389	hard_core_transcriptome	8779
7	252	hard_core_transcriptome	5898
7	293	hard_core_transcriptome	6781
7	347	hard_core_transcriptome	7923
7	551	hard_core_transcriptome	13225
7	448	hard_core_transcriptome	10536
7	746	hard_core_transcriptome	18579
7	327	hard_core_transcriptome	7269
7	298	hard_core_transcriptome	7222
7	274	hard_core_transcriptome	6743
7	434	hard_core_transcriptome	10935
7	322	hard_core_transcriptome	6873
7	481	hard_core_transcriptome	11663
7	1550	hard_core_transcriptome	38564
7	502	hard_core_transcriptome	11898
7	571	hard_core_transcriptome	13843
7	569	hard_core_transcriptome	14501
7	606	hard_core_transcriptome	14204
8	323	hard_core_transcriptome	8975
8	245	hard_core_transcriptome	6876
8	461	hard_core_transcriptome	12817
8	178	hard_core_transcriptome	4614
8	391	hard_core_transcriptome	10944
8	138	hard_core_transcriptome	3923
8	323	hard_core_transcriptome	9381
8	387	hard_core_transcriptome	11715
8	212	hard_core_transcriptome	5151
8	396	hard_core_transcriptome	11047
8	437	hard_core_transcriptome	11888
8	380	hard_core_transcriptome	11497
8	252	hard_core_transcriptome	7331
8	396	hard_core_transcriptome	11520
8	323	hard_core_transcriptome	8422
8	1278	hard_core_transcriptome	38257
8	371	hard_core_transcriptome	10778
8	459	hard_core_transcriptome	13030
8	519	hard_core_transcriptome	15401
8	217	hard_core_transcriptome	6278
9	352	hard_core_transcriptome	12285
9	251	hard_core_transcriptome	8949
9	368	hard_core_transcriptome	12571
9	252	hard_core_transcriptome	8359
9	385	hard_core_transcriptome	12259
9	212	hard_core_transcriptome	7188
9	250	hard_core_transcriptome	8741
9	160	hard_core_transcriptome	4810
9	353	hard_core_transcriptome	11330
9	242	hard_core_transcriptome	7580
9	300	hard_core_transcriptome	10196
9	255	hard_core_transcriptome	8242
9	332	hard_core_transcriptome	11410
9	330	hard_core_transcriptome	11920
9	376	hard_core_transcriptome	12924
9	139	hard_core_transcriptome	4650
9	323	hard_core_transcriptome	11471
9	160	hard_core_transcriptome	5881
9	173	hard_core_transcriptome	5153
9	261	hard_core_transcriptome	8754
10	363	hard_core_transcriptome	13718
10	301	hard_core_transcriptome	11394
10	256	hard_core_transcriptome	9520
10	361	hard_core_transcriptome	13887
10	267	hard_core_transcriptome	10453
10	171	hard_core_transcriptome	6134
10	116	hard_core_transcriptome	3902
10	292	hard_core_transcriptome	11337
10	326	hard_core_transcriptome	12447
10	304	hard_core_transcriptome	11915
10	456	hard_core_transcriptome	18484
10	287	hard_core_transcriptome	10563
10	214	hard_core_transcriptome	7411
10	313	hard_core_transcriptome	12039
10	148	hard_core_transcriptome	5171
10	226	hard_core_transcriptome	8302
10	211	hard_core_transcriptome	8293
10	294	hard_core_transcriptome	11901
10	309	hard_core_transcriptome	11905
10	111	hard_core_transcriptome	4063
11	148	hard_core_transcriptome	5267
11	220	hard_core_transcriptome	9368
11	140	hard_core_transcriptome	6614
11	242	hard_core_transcriptome	10484
11	126	hard_core_transcriptome	5069
11	166	hard_core_transcriptome	6610
11	328	hard_core_transcriptome	13965
11	328	hard_core_transcriptome	13914
11	377	hard_core_transcriptome	15583
11	307	hard_core_transcriptome	12892
11	229	hard_core_transcriptome	9985
11	170	hard_core_transcriptome	7035
11	181	hard_core_transcriptome	7251
11	182	hard_core_transcriptome	7402
11	191	hard_core_transcriptome	7359
11	107	hard_core_transcriptome	4167
11	198	hard_core_transcriptome	7674
11	198	hard_core_transcriptome	7599
11	180	hard_core_transcriptome	8236
11	209	hard_core_transcriptome	9136
12	171	hard_core_transcriptome	7348
12	162	hard_core_transcriptome	8023
12	133	hard_core_transcriptome	6319
12	212	hard_core_transcriptome	10353
12	218	hard_core_transcriptome	10585
12	268	hard_core_transcriptome	12807
12	216	hard_core_transcriptome	10467
12	124	hard_core_transcriptome	5708
12	228	hard_core_transcriptome	10663
12	85	hard_core_transcriptome	4164
12	108	hard_core_transcriptome	5415
12	87	hard_core_transcriptome	3566
12	138	hard_core_transcriptome	5993
12	78	hard_core_transcriptome	3344
12	126	hard_core_transcriptome	5658
12	212	hard_core_transcriptome	10425
12	293	hard_core_transcriptome	14189
12	220	hard_core_transcriptome	10006
12	153	hard_core_transcriptome	6545
12	189	hard_core_transcriptome	8511
13	115	hard_core_transcriptome	6047
13	221	hard_core_transcriptome	11500
13	88	hard_core_transcriptome	4664
13	252	hard_core_transcriptome	13009
13	110	hard_core_transcriptome	5678
13	182	hard_core_transcriptome	9394
13	125	hard_core_transcriptome	6300
13	114	hard_core_transcriptome	6189
13	119	hard_core_transcriptome	5750
13	214	hard_core_transcriptome	11298
13	180	hard_core_transcriptome	9529
13	123	hard_core_transcriptome	6497
13	205	hard_core_transcriptome	10566
13	276	hard_core_transcriptome	15066
13	191	hard_core_transcriptome	9700
13	176	hard_core_transcriptome	9011
13	201	hard_core_transcriptome	10411
13	144	hard_core_transcriptome	8021
13	128	hard_core_transcriptome	6346
13	220	hard_core_transcriptome	11565
14	130	hard_core_transcriptome	7449
14	105	hard_core_transcriptome	6473
14	89	hard_core_transcriptome	5233
14	108	hard_core_transcriptome	6372
14	128	hard_core_transcriptome	7351
14	199	hard_core_transcriptome	11698
14	167	hard_core_transcriptome	9551
14	105	hard_core_transcriptome	5834
14	86	hard_core_transcriptome	4999
14	134	hard_core_transcriptome	7265
14	106	hard_core_transcriptome	5535
14	118	hard_core_transcriptome	6706
14	89	hard_core_transcriptome	4632
14	184	hard_core_transcriptome	10659
14	178	hard_core_transcriptome	10358
14	104	hard_core_transcriptome	5658
14	121	hard_core_transcriptome	7069
14	142	hard_core_transcriptome	7919
14	165	hard_core_transcriptome	9051
14	103	hard_core_transcriptome	5942
15	97	hard_core_transcriptome	5760
15	72	hard_core_transcriptome	4201
15	83	hard_core_transcriptome	5129
15	131	hard_core_transcriptome	7764
15	95	hard_core_transcriptome	5998
15	129	hard_core_transcriptome	7768
15	167	hard_core_transcriptome	10649
15	88	hard_core_transcriptome	5477
15	117	hard_core_transcriptome	6661
15	115	hard_core_transcriptome	6562
15	66	hard_core_transcriptome	4098
15	113	hard_core_transcriptome	7169
15	116	hard_core_transcriptome	6921
15	101	hard_core_transcriptome	6031
15	111	hard_core_transcriptome	6486
15	103	hard_core_transcriptome	6044
15	102	hard_core_transcriptome	5693
15	110	hard_core_transcriptome	6030
15	185	hard_core_transcriptome	10896
15	81	hard_core_transcriptome	4540
16	70	hard_core_transcriptome	4439
16	74	hard_core_transcriptome	4492
16	78	hard_core_transcriptome	5202
16	126	hard_core_transcriptome	8097
16	87	hard_core_transcriptome	5758
16	80	hard_core_transcriptome	4852
16	100	hard_core_transcriptome	6610
16	199	hard_core_transcriptome	13862
16	154	hard_core_transcriptome	10167
16	92	hard_core_transcriptome	6168
16	110	hard_core_transcriptome	6731
16	73	hard_core_transcriptome	4873
16	155	hard_core_transcriptome	9782
16	67	hard_core_transcriptome	4014
16	72	hard_core_transcriptome	4355
16	108	hard_core_transcriptome	6999
16	141	hard_core_transcriptome	9511
16	133	hard_core_transcriptome	9165
16	95	hard_core_transcriptome	6123
16	81	hard_core_transcriptome	4936
17	67	hard_core_transcriptome	4485
17	63	hard_core_transcriptome	4017
17	79	hard_core_transcriptome	5701
17	93	hard_core_transcriptome	6079
17	99	hard_core_transcriptome	6680
17	83	hard_core_transcriptome	6490
17	135	hard_core_transcriptome	10000
17	71	hard_core_transcriptome	5124
17	87	hard_core_transcriptome	5907
17	95	hard_core_transcriptome	6557
17	61	hard_core_transcriptome	4369
17	138	hard_core_transcriptome	9467
17	99	hard_core_transcriptome	6293
17	84	hard_core_transcriptome	6139
17	88	hard_core_transcriptome	6566
17	106	hard_core_transcriptome	7434
17	68	hard_core_transcriptome	4637
17	86	hard_core_transcriptome	6235
17	146	hard_core_transcriptome	10576
17	151	hard_core_transcriptome	10397
18	84	hard_core_transcriptome	6703
18	72	hard_core_transcriptome	4989
18	86	hard_core_transcriptome	6372
18	132	hard_core_transcriptome	10128
18	93	hard_core_transcriptome	7054
18	70	hard_core_transcriptome	5207
18	84	hard_core_transcriptome	6809
18	89	hard_core_transcriptome	7264
18	129	hard_core_transcriptome	9606
18	83	hard_core_transcriptome	6289
18	93	hard_core_transcriptome	6473
18	57	hard_core_transcriptome	4297
18	153	hard_core_transcriptome	11867
18	83	hard_core_transcriptome	6090
18	95	hard_core_transcriptome	6900
18	53	hard_core_transcriptome	3715
18	87	hard_core_transcriptome	5998
18	92	hard_core_transcriptome	7123
18	60	hard_core_transcriptome	4352
18	94	hard_core_transcriptome	7092
19	52	hard_core_transcriptome	4057
19	54	hard_core_transcriptome	4383
19	71	hard_core_transcriptome	5685
19	91	hard_core_transcriptome	6997
19	75	hard_core_transcriptome	5723
19	75	hard_core_transcriptome	5489
19	70	hard_core_transcriptome	5743
19	60	hard_core_transcriptome	4611
19	89	hard_core_transcriptome	6948
19	67	hard_core_transcriptome	5559
19	100	hard_core_transcriptome	7744
19	90	hard_core_transcriptome	7194
19	88	hard_core_transcriptome	7570
19	43	hard_core_transcriptome	3469
19	56	hard_core_transcriptome	4745
19	122	hard_core_transcriptome	9851
19	52	hard_core_transcriptome	3690
19	143	hard_core_transcriptome	11606
19	84	hard_core_transcriptome	6601
19	68	hard_core_transcriptome	4809
20	137	hard_core_transcriptome	11602
20	73	hard_core_transcriptome	5813
20	129	hard_core_transcriptome	11279
20	64	hard_core_transcriptome	5084
20	94	hard_core_transcriptome	8230
20	78	hard_core_transcriptome	6414
20	72	hard_core_transcriptome	5913
20	73	hard_core_transcriptome	5906
20	93	hard_core_transcriptome	8092
20	53	hard_core_transcriptome	4058
20	115	hard_core_transcriptome	10028
20	51	hard_core_transcriptome	4241
20	53	hard_core_transcriptome	4249
20	59	hard_core_transcriptome	5233
20	114	hard_core_transcriptome	10032
20	95	hard_core_transcriptome	8125
20	74	hard_core_transcriptome	6337
20	91	hard_core_transcriptome	7916
20	69	hard_core_transcriptome	5992
20	73	hard_core_transcriptome	6500
21	71	hard_core_transcriptome	6318
21	63	hard_core_transcriptome	5308
21	64	hard_core_transcriptome	5455
21	50	hard_core_transcriptome	4276
21	79	hard_core_transcriptome	7058
21	81	hard_core_transcriptome	6989
21	101	hard_core_transcriptome	9158
21	77	hard_core_transcriptome	7307
21	95	hard_core_transcriptome	8601
21	54	hard_core_transcriptome	4430
21	71	hard_core_transcriptome	5864
21	72	hard_core_transcriptome	6402
21	74	hard_core_transcriptome	5900
21	53	hard_core_transcriptome	4598
21	49	hard_core_transcriptome	4017
21	64	hard_core_transcriptome	5289
21	78	hard_core_transcriptome	7258
21	59	hard_core_transcriptome	5402
21	68	hard_core_transcriptome	5927
21	121	hard_core_transcriptome	10856
22	59	hard_core_transcriptome	5730
22	72	hard_core_transcriptome	7280
22	52	hard_core_transcriptome	5205
22	70	hard_core_transcriptome	5882
22	101	hard_core_transcriptome	10128
22	77	hard_core_transcriptome	6918
22	91	hard_core_transcriptome	8090
22	59	hard_core_transcriptome	5533
22	72	hard_core_transcriptome	6532
22	56	hard_core_transcriptome	5131
22	93	hard_core_transcriptome	9026
22	40	hard_core_transcriptome	3844
22	50	hard_core_transcriptome	4770
22	41	hard_core_transcriptome	3628
22	72	hard_core_transcriptome	6601
22	60	hard_core_transcriptome	5578
22	52	hard_core_transcriptome	5160
22	75	hard_core_transcriptome	6922
22	45	hard_core_transcriptome	4636
22	67	hard_core_transcriptome	6868
23	88	hard_core_transcriptome	8813
23	56	hard_core_transcriptome	5723
23	65	hard_core_transcriptome	6627
23	42	hard_core_transcriptome	3921
23	68	hard_core_transcriptome	6497
23	45	hard_core_transcriptome	4544
23	120	hard_core_transcriptome	12307
23	46	hard_core_transcriptome	4417
23	100	hard_core_transcriptome	10079
23	45	hard_core_transcriptome	4501
23	41	hard_core_transcriptome	3614
23	38	hard_core_transcriptome	3782
23	106	hard_core_transcriptome	11194
23	69	hard_core_transcriptome	6425
23	47	hard_core_transcriptome	4741
23	47	hard_core_transcriptome	4837
23	64	hard_core_transcriptome	6124
23	38	hard_core_transcriptome	3701
23	62	hard_core_transcriptome	6135
23	49	hard_core_transcriptome	4304
24	39	hard_core_transcriptome	3590
24	61	hard_core_transcriptome	6383
24	47	hard_core_transcriptome	4779
24	59	hard_core_transcriptome	6133
24	86	hard_core_transcriptome	9401
24	53	hard_core_transcriptome	5320
24	48	hard_core_transcriptome	5106
24	36	hard_core_transcriptome	3677
24	35	hard_core_transcriptome	3507
24	66	hard_core_transcriptome	6535
24	65	hard_core_transcriptome	6874
24	57	hard_core_transcriptome	5794
24	51	hard_core_transcriptome	5692
24	97	hard_core_transcriptome	10239
24	51	hard_core_transcriptome	4968
24	54	hard_core_transcriptome	5607
24	49	hard_core_transcriptome	5136
24	50	hard_core_transcriptome	4847
24	45	hard_core_transcriptome	4366
24	62	hard_core_transcriptome	6401
25	53	hard_core_transcriptome	5585
25	37	hard_core_transcriptome	4042
25	40	hard_core_transcriptome	4166
25	49	hard_core_transcriptome	4814
25	51	hard_core_transcriptome	5596
25	39	hard_core_transcriptome	4289
25	60	hard_core_transcriptome	6511
25	68	hard_core_transcriptome	7332
25	50	hard_core_transcriptome	4924
25	52	hard_core_transcriptome	5300
25	67	hard_core_transcriptome	7086
25	87	hard_core_transcriptome	9684
25	53	hard_core_transcriptome	5974
25	47	hard_core_transcriptome	5147
25	42	hard_core_transcriptome	4351
25	50	hard_core_transcriptome	5435
25	56	hard_core_transcriptome	5892
25	69	hard_core_transcriptome	7764
25	58	hard_core_transcriptome	5815
25	56	hard_core_transcriptome	5756
26	43	hard_core_transcriptome	4595
26	55	hard_core_transcriptome	6036
26	44	hard_core_transcriptome	4475
26	53	hard_core_transcriptome	6201
26	48	hard_core_transcriptome	5471
26	46	hard_core_transcriptome	5331
26	51	hard_core_transcriptome	5242
26	32	hard_core_transcriptome	3693
26	39	hard_core_transcriptome	4311
26	49	hard_core_transcriptome	5305
26	51	hard_core_transcriptome	5300
26	36	hard_core_transcriptome	3983
26	57	hard_core_transcriptome	6622
26	47	hard_core_transcriptome	5221
26	89	hard_core_transcriptome	10051
26	57	hard_core_transcriptome	6779
26	35	hard_core_transcriptome	3984
26	70	hard_core_transcriptome	7859
26	44	hard_core_transcriptome	5130
26	37	hard_core_transcriptome	4067
27	30	hard_core_transcriptome	3553
27	60	hard_core_transcriptome	7262
27	52	hard_core_transcriptome	6370
27	41	hard_core_transcriptome	4933
27	50	hard_core_transcriptome	6073
27	93	hard_core_transcriptome	10615
27	44	hard_core_transcriptome	5213
27	44	hard_core_transcriptome	5435
27	43	hard_core_transcriptome	5043
27	47	hard_core_transcriptome	4800
27	63	hard_core_transcriptome	7241
27	33	hard_core_transcriptome	3659
27	78	hard_core_transcriptome	9605
27	62	hard_core_transcriptome	7373
27	37	hard_core_transcriptome	4108
27	36	hard_core_transcriptome	4143
27	32	hard_core_transcriptome	4081
27	54	hard_core_transcriptome	6408
27	55	hard_core_transcriptome	6026
27	41	hard_core_transcriptome	4401
28	35	hard_core_transcriptome	4367
28	50	hard_core_transcriptome	6454
28	41	hard_core_transcriptome	4773
28	54	hard_core_transcriptome	6846
28	47	hard_core_transcriptome	5685
28	36	hard_core_transcriptome	4040
28	49	hard_core_transcriptome	5866
28	54	hard_core_transcriptome	6835
28	57	hard_core_transcriptome	7639
28	70	hard_core_transcriptome	8351
28	43	hard_core_transcriptome	4979
28	32	hard_core_transcriptome	4038
28	53	hard_core_transcriptome	6281
28	44	hard_core_transcriptome	5156
28	35	hard_core_transcriptome	4265
28	56	hard_core_transcriptome	6936
28	37	hard_core_transcriptome	4620
28	81	hard_core_transcriptome	10097
28	57	hard_core_transcriptome	7096
28	45	hard_core_transcriptome	5366
29	35	hard_core_transcriptome	4271
29	32	hard_core_transcriptome	3780
29	43	hard_core_transcriptome	5932
29	44	hard_core_transcriptome	5963
29	51	hard_core_transcriptome	6605
29	39	hard_core_transcriptome	5338
29	46	hard_core_transcriptome	6209
29	39	hard_core_transcriptome	5088
29	76	hard_core_transcriptome	10370
29	44	hard_core_transcriptome	5404
29	46	hard_core_transcriptome	5566
29	51	hard_core_transcriptome	6146
29	46	hard_core_transcriptome	6274
29	44	hard_core_transcriptome	5402
29	54	hard_core_transcriptome	7363
29	38	hard_core_transcriptome	4831
29	44	hard_core_transcriptome	5741
29	44	hard_core_transcriptome	5681
29	44	hard_core_transcriptome	5152
29	36	hard_core_transcriptome	4671
30	42	hard_core_transcriptome	5604
30	30	hard_core_transcriptome	3952
30	39	hard_core_transcriptome	4926
30	46	hard_core_transcriptome	6735
30	50	hard_core_transcriptome	6808
30	42	hard_core_transcriptome	5309
30	33	hard_core_transcriptome	4148
30	38	hard_core_transcriptome	5133
30	43	hard_core_transcriptome	5842
30	35	hard_core_transcriptome	4490
30	33	hard_core_transcriptome	4431
30	32	hard_core_transcriptome	3898
30	49	hard_core_transcriptome	7044
30	50	hard_core_transcriptome	6183
30	43	hard_core_transcriptome	5355
30	30	hard_core_transcriptome	3633
30	38	hard_core_transcriptome	4922
30	45	hard_core_transcriptome	5482
30	36	hard_core_transcriptome	4547
30	39	hard_core_transcriptome	4558
31	46	hard_core_transcriptome	6062
31	28	hard_core_transcriptome	3506
31	41	hard_core_transcriptome	5607
31	41	hard_core_transcriptome	5847
31	51	hard_core_transcriptome	6947
31	38	hard_core_transcriptome	4863
31	32	hard_core_transcriptome	4647
31	40	hard_core_transcriptome	5158
31	46	hard_core_transcriptome	6220
31	30	hard_core_transcriptome	3823
31	24	hard_core_transcriptome	3226
31	29	hard_core_transcriptome	3989
31	52	hard_core_transcriptome	7390
31	35	hard_core_transcriptome	4916
31	47	hard_core_transcriptome	6448
31	40	hard_core_transcriptome	5403
31	33	hard_core_transcriptome	4681
31	47	hard_core_transcriptome	6263
31	34	hard_core_transcriptome	4599
31	40	hard_core_transcriptome	5458
